saleID,saleDate,productID,productName,productCategory,productColor,productSize,quantity,unitPrice,costPrice,totalAmount,totalCost,customerID,customerName,location,locationLatitude,locationLongitude,salespersonID,salespersonName,status,salesChannel
S00001,01-09-2023 21:43,P1000,Women's_000,Women's Dresses,Red,XXL,2,1572.76,1154.01,3145.52,2308.02,C20000,Vishal_0000,Tiruchirappalli,10.7905,78.7047,SP114,Salesperson_14,Pending,online
S00002,06-03-2023 15:20,P1001,Women's_001,Women's Dresses,Maroon,XS,1,247.34,220.37,247.34,220.37,C20001,Sathish_0001,Erode,11.34,77.7172,SP102,Salesperson_2,Paid,online
S00003,25-06-2024 12:10,P1002,Women's_002,Women's Dresses,Black,S,2,1620.21,1269.43,3240.42,2538.86,C20002,Anu_0002,Chennai,13.0827,80.2707,SP135,Salesperson_35,Pending,in-store
S00004,05-01-2023 10:31,P1003,Kurta_003,Kurta,Black,L,4,520.84,358.15,2083.36,1432.6,C20003,Sathish_0003,Salem,11.6643,78.146,SP100,Salesperson_0,Pending,in-store
S00005,27-08-2023 15:47,P1004,Kurta_004,Kurta,Yellow,M,1,1079.66,966.26,1079.66,966.26,C20004,Kavin_0004,Tiruchirappalli,10.7905,78.7047,SP148,Salesperson_48,Returned,in-store
S00006,31-10-2023 20:40,P1005,Women's_005,Women's Dresses,Blue,L,1,349.62,309.3,349.62,309.3,C20005,Diya_0005,Tirunelveli,8.7139,77.7567,SP122,Salesperson_22,Cancelled,mobile_app
S00007,19-09-2024 19:18,P1006,T-Shirts_006,T-Shirts,Red,XXL,2,731.06,491.5,1462.12,983,C20006,Ravi_0006,Coimbatore,11.0168,76.9558,SP124,Salesperson_24,Paid,in-store
S00008,20-03-2024 17:49,P1007,T-Shirts_007,T-Shirts,Yellow,XL,1,2291.44,1552.76,2291.44,1552.76,C20007,Meena_0007,Coimbatore,11.0168,76.9558,SP102,Salesperson_2,Pending,in-store
S00009,06-03-2024 13:31,P1008,T-Shirts_008,T-Shirts,Blue,S,1,1505.71,917.57,1505.71,917.57,C20008,Bhuvana_0008,Coimbatore,11.0168,76.9558,SP124,Salesperson_24,Returned,mobile_app
S00010,01-07-2024 15:23,P1009,Sportswear_009,Sportswear,Yellow,S,2,1575.17,1380.73,3150.34,2761.46,C20009,Karthik_0009,Tirunelveli,8.7139,77.7567,SP113,Salesperson_13,Returned,mobile_app
S00011,27-02-2023 12:02,P1010,Women's_010,Women's Dresses,Green,XL,2,1093.96,745.43,2187.92,1490.86,C20010,Devi_0010,Tiruchirappalli,10.7905,78.7047,SP110,Salesperson_10,Shipped,in-store
S00012,22-06-2024 14:16,P1011,Kurta_011,Kurta,White,XXL,2,834.8,575.08,1669.6,1150.16,C20011,Devi_0011,Tiruchirappalli,10.7905,78.7047,SP143,Salesperson_43,Returned,online
S00013,18-04-2023 10:25,P1012,Men's_012,Men's Shirts,Black,XS,1,657.05,395.32,657.05,395.32,C20012,Sanjay_0012,Tirunelveli,8.7139,77.7567,SP125,Salesperson_25,Returned,in-store
S00014,14-06-2024 18:43,P1013,Women's_013,Women's Dresses,Black,XL,1,1593.71,1399.1,1593.71,1399.1,C20013,Ganesh_0013,Tirunelveli,8.7139,77.7567,SP113,Salesperson_13,Shipped,in-store
S00015,28-02-2024 20:51,P1014,Kurta_014,Kurta,Grey,S,2,961.07,594.97,1922.14,1189.94,C20014,Vishal_0014,Madurai,9.9252,78.1198,SP115,Salesperson_15,Cancelled,in-store
S00016,22-07-2023 13:43,P1015,T-Shirts_015,T-Shirts,Pink,XL,3,2240.59,1661.77,6721.77,4985.31,C20015,Priya_0015,Tirunelveli,8.7139,77.7567,SP114,Salesperson_14,Pending,in-store
S00017,19-03-2023 18:45,P1016,Sportswear_016,Sportswear,Blue,XS,1,742.77,502.72,742.77,502.72,C20016,Bhuvana_0016,Coimbatore,11.0168,76.9558,SP109,Salesperson_9,Pending,in-store
S00018,27-01-2023 18:06,P1017,Kurta_017,Kurta,Blue,L,2,448.15,273.12,896.3,546.24,C20017,Priya_0017,Vellore,12.9165,79.1325,SP133,Salesperson_33,Returned,in-store
S00019,18-02-2024 13:30,P1018,Men's_018,Men's Shirts,Blue,XXL,3,520.46,406.65,1561.38,1219.95,C20018,Ganesh_0018,Salem,11.6643,78.146,SP149,Salesperson_49,Returned,mobile_app
S00020,17-12-2023 12:56,P1019,Women's_019,Women's Dresses,White,L,4,866.43,561.76,3465.72,2247.04,C20019,Kavin_0019,Vellore,12.9165,79.1325,SP100,Salesperson_0,Returned,in-store
S00021,27-08-2024 19:38,P1020,Kid's_020,Kid's Wear,Maroon,XS,3,1250.03,831.94,3750.09,2495.82,C20020,Bhuvana_0020,Salem,11.6643,78.146,SP140,Salesperson_40,Cancelled,in-store
S00022,28-09-2023 20:19,P1021,Jeans_021,Jeans,Green,M,4,2261.01,1572.31,9044.04,6289.24,C20021,Sanjay_0021,Madurai,9.9252,78.1198,SP134,Salesperson_34,Cancelled,mobile_app
S00023,13-03-2023 12:25,P1022,Men's_022,Men's Shirts,Yellow,L,2,1010.91,698.98,2021.82,1397.96,C20022,Aarav_0022,Coimbatore,11.0168,76.9558,SP123,Salesperson_23,Returned,in-store
S00024,18-04-2023 16:29,P1023,Jeans_023,Jeans,Red,S,1,475.69,333.59,475.69,333.59,C20023,Ganesh_0023,Coimbatore,11.0168,76.9558,SP105,Salesperson_5,Shipped,in-store
S00025,04-09-2024 13:31,P1024,Women's_024,Women's Dresses,Maroon,S,1,1128.82,699.27,1128.82,699.27,C20024,Kavin_0024,Vellore,12.9165,79.1325,SP135,Salesperson_35,Pending,mobile_app
